doc_id,pdf_path,pdf_size_bytes,mineru_elapsed_seconds,label_elapsed_seconds,mineru_return_code,label_return_code,raw_output_size_bytes,raw_output_size_human,model_blocks,model_contentful_blocks,model_type_counter,label_blocks,label_type_counter,inference_elements,inference_type_counter,inference_title_level_counter,tree_nodes,tree_max_depth,tree_type_counter,mineru_inner_dir,popo_label_json,popo_infer_json,popo_tree_json,popo_tree_txt
text01,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text01.pdf,7822375,,,,,,,,,,,,,,,,,,,,,,
text02,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text02.pdf,7222422,,,,,,,,,,,,,,,,,,,,,,
text03,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text03.pdf,13443633,,,,,,,,,,,,,,,,,,,,,,
text04,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text04.pdf,13821429,,,,,,,,,,,,,,,,,,,,,,
text05,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text05.pdf,6211838,,,,,,,,,,,,,,,,,,,,,,
text06,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text06.pdf,6142229,,,,,,,,,,,,,,,,,,,,,,
text07,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text07.pdf,1548649,,,,,,,,,,,,,,,,,,,,,,
text08,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text08.pdf,8587842,,,,,,,,,,,,,,,,,,,,,,
text09,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text09.pdf,8062120,,,,,,,,,,,,,,,,,,,,,,
text10,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text10.pdf,12595610,,,,,,,,,,,,,,,,,,,,,,
text11,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text11.pdf,8472825,,,,,,,,,,,,,,,,,,,,,,
text12,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text12.pdf,1362591,,,,,,,,,,,,,,,,,,,,,,
text13,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text13.pdf,8289770,,,,,,,,,,,,,,,,,,,,,,
text14,/root/autodl-tmp/airag/public_dataset_a/public_dataset_upload/raw/financial_contracts/text14.pdf,7119062,,,,,,,,,,,,,,,,,,,,,,
